fips,mass
06007,1.0
06011,0.2
06019,17.1
06029,78.0
06031,0.8
06039,1.4
06045,0.0
06047,0.5
06053,0.0
06055,0.0
06065,2.5
06077,0.0
06097,0.6
06101,0.0
06107,72.1
06115,0.0
41001,0.0
41021,0.0
41027,0.1
41049,0.0
41055,0.0
41059,0.0
41061,0.0
41063,0.0
41065,0.5
53001,0.0
53003,0.0
53005,0.4
53007,0.5
53009,0.0
53011,0.0
53013,0.0
53015,0.0
53017,0.1
53019,0.0
53021,0.2
53023,0.0
53025,0.4
53027,0.0
53029,0.0
53031,0.0
53033,0.0
53035,0.0
53037,0.0
53039,0.1
53041,0.0
53043,0.0
53045,0.0
53047,0.3
53051,0.0
53053,0.0
53055,0.0
53057,0.0
53061,0.0
53063,0.0
53065,0.0
53067,0.0
53069,0.0
53071,0.0
53073,0.0
53075,0.0
53077,1.0
